incident_number,state,district,block,village_name,other_areas,constituency,longitude,latitude,year,date,perpetrator,first_action,second_action,third_action,armed_assault,arrest,bombing,infrastructure,surrender,seizure,abduction,action_successful,first_target,second_target,civilians,maoist,government_officials,security,private_property,mining_company,ngos,government_infrastructure,non_maoist_armed_group,no_target,first_civilian_target,second_civilian_target,former_maoist,high_caste_landowner,police_informer,businessman,aspiring_politician,other_elite,other_civilian,total_fatalities,govt_official_fatalities,civilian_fatalities,security_fatalities,maoist_fatalities,other_armed_grp_fatalities,total_injuries,govt_official_injuries,civilian_injuries,security_injuries,maoist_injuries,non_maoist_armed_group_injuries,property_damage,value_property_damage,total_abducted,total_arrests,commander_arrests,cadre_arrests,sympathizer_arrests,unknown_arrests,total_surrenders,commander_surrenders,cadre_surrenders,sympathizer_surrenders,unknown_surrenders,incident_summary
1209180601,Maharashtra,Gondia,Salekasa,Chaandsuraj,NA,Amgaon,21.2341,80.6133,2006,2006-09-18T00:00:00Z,Unknown,Armed Assault,None,None,1,0,0,0,0,0,0,1,Unknown,No Target,0,0,0,0,0,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,A Police personnel was killed and another injured in an encounter with the Maoist cadres at Chaandsuraj village in the Gondia District.
1412290901,Odisha,Kendujhar,Kendujhar,Raisuan,NA,Kendujhar,21.6289,85.5817,2009,2009-12-29T00:00:00Z,Maoist,Facility/Infrastructure Attack,None,None,0,0,0,1,0,0,0,1,Private Property,No Target,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"CPI-Maoist cadres set ablaze a shop and an auto rickshaw in the Raisuan village of Keonjhar District, Police said on December 29. ""Maoists torched a shop last night [December 28]. About 20 armed Maoists had come and torched a shop and an auto,"" said Dhruba Charan Puhan, Sub Divisional Police Officer (SDPO) of Keonjhar. According to Police, the extremists set ablaze the shop by pouring petrol after asking the shop owner and his family members to leave.",0,0,0,0,0,0,0,0,0,0,0,"CPI-Maoist cadres set ablaze a shop and an auto rickshaw in the Raisuan village of Keonjhar District, Police said on December 29. ""Maoists torched a shop last night [December 28]. About 20 armed Maoists had come and torched a shop and an auto,"" said Dhruba Charan Puhan, Sub Divisional Police Officer (SDPO) of Keonjhar. According to Police, the extremists set ablaze the shop by pouring petrol after asking the shop owner and his family members to leave. The Maoists have also left some literature, threatening the Police and some other individuals of the village."
812271001,Jharkhand,Palamu,NA,NA,NA,NA,NA,NA,2010,2010-12-27T00:00:00Z,Maoist,Armed Assault,Hijacking/Kidnapping,None,1,0,0,0,0,0,1,1,Maoist,No Target,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,2,0,0,0,0,0,0,0,0,0,0,"A LWE belonging to Jharkhand Janmukti Parishad (JJP), a splinter group of the CPI-Maoist, was killed in a gun battle with the Bharatiya Communist Party (BCP), another Maoist splinter group, in Palamu District. After the gun battle was over, another two JJP cadres were 'captured' and taken away by the BCP."
1412041303,Odisha,Malkangiri,Kalimela,Gomphakunda,NA,Malkangiri,18.0908,81.7514,2013,2013-12-04T00:00:00Z,Maoist,Hijacking/Kidnapping,None,None,0,0,0,0,0,0,1,1,Civilians,No Target,1,0,0,0,0,0,0,0,0,0,Other Civilian,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,0,A CPI-Maoist cadre was suspected to be killed and another injured during an exchange of fire with Security Forces (SFs) in Kalimela Police Station area of Malkangiri District. The SFs personnel were part of a joint operation to rescue three persons from Gomphakunda village abducted by Maoists on December 4.
2109231501,West Bengal,Kolkata,Kolkata,NA,Howrah railway station,Kasba,22.581138888888887,88.33661111111111,2015,2015-09-23T00:00:00Z,Security,"Seizure of Money, Weapons, Property etc",None,None,0,0,0,0,0,1,0,1,Maoist,No Target,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,"Personnel of the bomb squad of the West Bengal CID have found a bag full with explosives from Falaknuma Express at Howrah railway station. Officials suspect that the bag has been transported from Secunderabad by the down Howrah-Secunderabad Falaknuma Express, according to preliminary reports. Unclaimed pipe like objects were recovered from a reserved compartment of the express train, which were found to be low intensity landmines."
803251501,Jharkhand,West Singhbhum,Sonua,Gurdri,Sonua Police Station,Chakradharpur,22.68425,85.21169444444445,2015,2015-03-25T00:00:00Z,Maoist,Armed Assault,None,None,1,0,0,0,0,0,0,1,Maoist,No Target,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,"Two sympathisers of the PLFI were hacked to death by suspected cadres of the CPI-Maoist in Sonua Police Station area in West Singhbhum District. A group of 15 armed Maoists dragged the victims, identified as Lakhan Bala (27) and Jaimati Borja (29), out of their houses in Gurdri village around 10pm and latter killed them on a village road. West Singhbhum SP Michael Raj said, ""The place of occurrence is located in a dense jungle. So, we are yet to get a detailed report on the murders,"" he said. The SP added Maoist pamphlets were found at the scene of murders, which suggested involvement of Maoists."
312201602,Chhattisgarh,Bijapur,NA,Hurrenar,NA,Bijapur assembly constituency,18.524351,80.837227,2016,2016-12-20T00:00:00Z,Security,Arrest,None,None,0,1,0,0,0,0,0,1,Maoist,No Target,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,5,0,5,0,0,0,0,0,0,0,"In another incident, a joint team of CAF and District Force rounded up five CPI-Maoists from Hurrenar village under Kutru Police Station limits during a search operation in Bijapur district"
303161501,Chhattisgarh,Sukma,NA,Gorguda,NA,Konta,19.2193,80.4655,2015,2015-03-16T00:00:00Z,Maoist,Armed Assault,None,None,1,0,0,0,0,0,0,1,Security,No Target,0,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,"CPI-Maoist cadres brutally thrashed a Police officer, Assistant Sub-Inspector Maheshwar Dewangan, posted at Polampalli Police Station in Sukma District. ASP Harish Rathore said Dewangan was heading for the Police Station in a taxi from Dornapal to rejoin the duty after a vacation. He was in civil dress and unarmed. About a dozen armed Maoists stopped the taxi near Gorguda village, asked Dewangan to get down, and beat him with sticks before leaving him bleeding at the spot, Rathore said."
807140801,Jharkhand,Khunti,NA,NA,NA,NA,NA,NA,2008,2008-07-14T00:00:00Z,Security,Arrest,"Seizure of Money, Weapons, Property etc",None,0,1,0,0,0,1,0,1,Maoist,No Target,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,0,2,0,0,0,0,0,0,0,"Jharkhand Police arrested two left-wing extremists from Panchdhara Road connecting Ranchi and Khuti in the Khuti District. Three pistols and live cartridges were seized from their possession. One of them was identified as Robin Purty, a former area commander and founder member of the Jharkhand Liberation Front, a break-away group of the CPI-Maoist."
305171001,Chhattisgarh,Dantewada,NA,Chingavaram,NA,Konta assembly constituency,18.421059,81.556801,2010,2010-05-17T00:00:00Z,Maoist,Bombing,None,None,0,0,1,0,0,0,0,1,Civilians,Security,1,0,0,1,0,0,0,0,0,0,Other Civilian,NA,0,0,0,0,0,0,1,44,0,28,16,0,0,6,0,4,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,"The CPI-Maoist cadres killed 44 persons, including 28 civilians and 16 Special Police Officers (SPOs), when they blew up a bus by triggering an improvised explosive device (IED) on a black-top road at Chingavaram near Sukma in Dantewada District. Four civilians and two SPOs were also injured. There were around 32 civilians and 18 SPOs in the bus."
