incident_number,state,district,block,village_name,other_areas,constituency,incident_summary,Matched_Location,latitude,longitude
101010701,Andhra Pradesh,Hyderabad,Gachibowli (Rangareddy),,Cyberabad,Serilingampally,"An alleged arms supplier to the Communist Party of India-Maoist (CPI-Maoist), identified as Ravi Kumar Chevori, was arrested from Cyberabad near Hyderabad. He had entered into a deal with the Maoists to supply arms and ammunition worth INR 40 lakh, which the city Police seized on December 28, 2006, and arrested three persons.","hyderabad, cyberabad",78.37180555555555,17.4325
101010901,Andhra Pradesh,Nizamabad,,Kamareddy,,Kamareddy,"A Kamareddy dalam (squad) member belonging to the Janashakti faction of the Communist Party of India-Marxist-Leninist (CPI-ML-Janashakti), identified as Kotta Rajam, surrendered before the Police at Kamareddy in the Nizamabad District.","nizamabad, kamareddy, kamareddy",78.33713888888889,18.320888888888888
101030601,Andhra Pradesh,Khammam,,Bhadrachalam,,Bhadrachalam,"Senior CPI-Maoist 'Polit Bureau' and 'central committee' member and chief of its 'central-eastern regional bureau' monitoring the political affairs in Orissa and Chhattisgarh, B. Narayan Sanyal alias Navin, is arrested at Bhadrachalam in the Khammam District.","khammam, bhadrachalam, bhadrachalam",80.89686111111112,17.668055555555558
101051602,Andhra Pradesh,Vishakhapatnam,,,Visakha Agency,Rayadurg,A TDP leader and former Sarpanch of Jerrela Gram Panchayat in Visakha Agency of Vishakhapatnam District,"vishakhapatnam, visakha agency",83.30283333333333,17.708777777777776
101060701,Andhra Pradesh,Visakhapatnam,GK Veedhi,Teegalabanda,Pedalavasa,Rayadurg,"The CPI-Maoist cadres blasted coffee pulping units at Teegalabanda and Pedavalasa villages in G.K. Veedhi mandal and took away nearly 350 bags of graded coffee beans with them. The attack was carried out in protest against the December 27, 2006-killing of its top leaders, Wadkapur Chandramouli and his wife Karuna, in the agency area.","veedhi, teegalabanda, pedavalasa",82.19688888888889,17.861861111111114
101060702,Andhra Pradesh,Khammam,,Lachagudem,,Aswaraopeta,Police recovered about INR 32 lakh cash from the Lachagudem forest area after a brief exchange of fire with the Maoists.,lachagudem,80.21402777777779,17.15461111111111
101061101,Andhra Pradesh,East Godavari,Kakinada,,Kakinada,Hindupur,Two ‘deputy commanders’ of the CPI-Maoist surrendered before the SP G. Srinivas in the Kakinada area of East Godavari District.,"east godavari, kakinada, kakinada",82.24861111111112,16.98825
101070701,Andhra Pradesh,Visakhapatnam,Koyyuru,,,Paderu,Police personnel unearthed a CPI-Maoist arms dump near Koyyuru and recovered a large quantity of material used for making landmines and gadgets to set the mines off along with some medicines.,koyyuru,82.21697222222222,17.655777777777775
101070901,Andhra Pradesh,Vizianagaram,,Parvathipuram,,Parvathipuram,"Eight extremists, including a Deruvada Area committee cadre of the CPI-Maoist, identified as Nimmaka Bangaraju (34), surrendered before Police at Parvathipuram in the Vizianagaram District. Bangaraju, a native of Kusa village in G. L. Puram mandal (administrative unit), was involved in several extremist activities.","vizianagaram, parvathipuram, parvathipuram",83.4256388888889,18.775694444444444
101071201,Andhra Pradesh,Visakhapatnam,Chintapalli,Lothugedda,,Paderu,Around 50 Maoists belonging to the Korukonda Dalam and their sympathisers of the CPI-Maoist blasted the Forest Department Office and check-post at Lothugedda in Vishakhapatnam District to make their presence felt in the region.,"vishakhapatnam, lothugedda",83.13149999999999,18.304055555555557
