fraction_raw,fraction_label,subset_size,model_raw,model_label,eval_loss,eval_accuracy,eval_f1_macro,eval_f1_weighted,eval_class_report,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,train_support_Maoist,train_support_Security,train_support_Unknown
0.03125,3%,247,bert-base-cased,BERT,0.7541505694389343,0.6219758064516129,0.3732237016124423,0.5498732803423243,"{""Maoist"": {""precision"": 0.5816326530612245, ""recall"": 0.9884393063583815, ""f1-score"": 0.7323340471092077, ""support"": 519.0}, ""Security"": {""precision"": 0.9454545454545454, ""recall"": 0.24355971896955503, ""f1-score"": 0.38733705772811916, ""support"": 427.0}, ""Unknown"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 46.0}, ""accuracy"": 0.6219758064516129, ""macro avg"": {""precision"": 0.5090290661719233, ""recall"": 0.4106663417759788, ""f1-score"": 0.3732237016124423, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.7112665704111556, ""recall"": 0.6219758064516129, ""f1-score"": 0.5498732803423243, ""support"": 992.0}}",1.9652,504.79,15.775,2.0,140,99,8
0.03125,3%,247,snowood1/ConfliBERT-scr-cased,ConfliBERT,0.8199087381362915,0.5231854838709677,0.22898742554599602,0.35940869110394735,"{""Maoist"": {""precision"": 0.5231854838709677, ""recall"": 1.0, ""f1-score"": 0.686962276637988, ""support"": 519.0}, ""Security"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 427.0}, ""Unknown"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 46.0}, ""accuracy"": 0.5231854838709677, ""macro avg"": {""precision"": 0.1743951612903226, ""recall"": 0.3333333333333333, ""f1-score"": 0.22898742554599602, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.27372305053329865, ""recall"": 0.5231854838709677, ""f1-score"": 0.35940869110394735, ""support"": 992.0}}",1.9827,500.336,15.636,2.0,140,99,8
0.03125,3%,247,FacebookAI/roberta-base,RoBERTa,0.6870654821395874,0.8487903225806451,0.5790045208758089,0.8284357253203359,"{""Maoist"": {""precision"": 0.7878315132605305, ""recall"": 0.9730250481695568, ""f1-score"": 0.8706896551724138, ""support"": 519.0}, ""Security"": {""precision"": 0.9601139601139601, ""recall"": 0.7892271662763466, ""f1-score"": 0.8663239074550129, ""support"": 427.0}, ""Unknown"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 46.0}, ""accuracy"": 0.8487903225806451, ""macro avg"": {""precision"": 0.5826484911248302, ""recall"": 0.5874174048153011, ""f1-score"": 0.5790045208758089, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.8254568713214477, ""recall"": 0.8487903225806451, ""f1-score"": 0.8284357253203359, ""support"": 992.0}}",1.9198,516.723,16.148,2.0,140,99,8
0.03125,3%,247,distilbert-base-cased,DistilBERT,0.6306414604187012,0.8497983870967742,0.5793993474805499,0.8291776019595372,"{""Maoist"": {""precision"": 0.7820121951219512, ""recall"": 0.9884393063583815, ""f1-score"": 0.8731914893617021, ""support"": 519.0}, ""Security"": {""precision"": 0.9821428571428571, ""recall"": 0.7728337236533958, ""f1-score"": 0.8650065530799476, ""support"": 427.0}, ""Unknown"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 46.0}, ""accuracy"": 0.8497983870967742, ""macro avg"": {""precision"": 0.5880516840882694, ""recall"": 0.5870910100039257, ""f1-score"": 0.5793993474805499, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.8318944851494886, ""recall"": 0.8497983870967742, ""f1-score"": 0.8291776019595372, ""support"": 992.0}}",1.2416,798.956,24.967,2.0,140,99,8
0.03125,3%,247,xlnet-base-cased,XLNet,0.5093099474906921,0.8044354838709677,0.5495311204505818,0.7852004344214217,"{""Maoist"": {""precision"": 0.8071833648393195, ""recall"": 0.8227360308285164, ""f1-score"": 0.8148854961832062, ""support"": 519.0}, ""Security"": {""precision"": 0.8012958963282938, ""recall"": 0.8688524590163934, ""f1-score"": 0.8337078651685393, ""support"": 427.0}, ""Unknown"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 46.0}, ""accuracy"": 0.8044354838709677, ""macro avg"": {""precision"": 0.5361597537225378, ""recall"": 0.5638628299483033, ""f1-score"": 0.5495311204505818, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.7672192682296253, ""recall"": 0.8044354838709677, ""f1-score"": 0.7852004344214217, ""support"": 992.0}}",2.808,353.272,11.04,2.0,140,99,8
0.03125,3%,247,google/electra-base-discriminator,ELECTRA,0.8016624450683594,0.5231854838709677,0.22898742554599602,0.35940869110394735,"{""Maoist"": {""precision"": 0.5231854838709677, ""recall"": 1.0, ""f1-score"": 0.686962276637988, ""support"": 519.0}, ""Security"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 427.0}, ""Unknown"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 46.0}, ""accuracy"": 0.5231854838709677, ""macro avg"": {""precision"": 0.1743951612903226, ""recall"": 0.3333333333333333, ""f1-score"": 0.22898742554599602, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.27372305053329865, ""recall"": 0.5231854838709677, ""f1-score"": 0.35940869110394735, ""support"": 992.0}}",2.0813,476.621,14.894,2.0,140,99,8
0.0625,6%,495,bert-base-cased,BERT,0.47315695881843567,0.8810483870967742,0.6021813536069799,0.8604658254418978,"{""Maoist"": {""precision"": 0.8477508650519031, ""recall"": 0.9441233140655106, ""f1-score"": 0.8933454876937101, ""support"": 519.0}, ""Security"": {""precision"": 0.927536231884058, ""recall"": 0.8992974238875878, ""f1-score"": 0.9131985731272295, ""support"": 427.0}, ""Unknown"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 46.0}, ""accuracy"": 0.8810483870967742, ""macro avg"": {""precision"": 0.5917623656453204, ""recall"": 0.6144735793176995, ""f1-score"": 0.6021813536069799, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.8427829334439824, ""recall"": 0.8810483870967742, ""f1-score"": 0.8604658254418978, ""support"": 992.0}}",1.9936,497.588,15.55,2.0,286,186,23
0.0625,6%,495,snowood1/ConfliBERT-scr-cased,ConfliBERT,0.5097125768661499,0.8830645161290323,0.6036718088690034,0.8623390835635278,"{""Maoist"": {""precision"": 0.8579040852575488, ""recall"": 0.930635838150289, ""f1-score"": 0.8927911275415896, ""support"": 519.0}, ""Security"": {""precision"": 0.916083916083916, ""recall"": 0.9203747072599532, ""f1-score"": 0.9182242990654206, ""support"": 427.0}, ""Unknown"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 46.0}, ""accuracy"": 0.8830645161290323, ""macro avg"": {""precision"": 0.5913293337804882, ""recall"": 0.6170035151367474, ""f1-score"": 0.6036718088690034, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.8431653754198588, ""recall"": 0.8830645161290323, ""f1-score"": 0.8623390835635278, ""support"": 992.0}}",1.9595,506.264,15.821,2.0,286,186,23
0.0625,6%,495,FacebookAI/roberta-base,RoBERTa,0.39911380410194397,0.8800403225806451,0.6011241097746288,0.8592068231467161,"{""Maoist"": {""precision"": 0.8677536231884058, ""recall"": 0.9229287090558767, ""f1-score"": 0.8944911297852475, ""support"": 519.0}, ""Security"": {""precision"": 0.8954545454545455, ""recall"": 0.9227166276346604, ""f1-score"": 0.908881199538639, ""support"": 427.0}, ""Unknown"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 46.0}, ""accuracy"": 0.8800403225806451, ""macro avg"": {""precision"": 0.5877360562143171, ""recall"": 0.615215112230179, ""f1-score"": 0.6011241097746288, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.8394387311934209, ""recall"": 0.8800403225806451, ""f1-score"": 0.8592068231467161, ""support"": 992.0}}",1.9205,516.542,16.142,2.0,286,186,23
0.0625,6%,495,distilbert-base-cased,DistilBERT,0.3687407374382019,0.8820564516129032,0.6028796946829734,0.8614610876079675,"{""Maoist"": {""precision"": 0.8480138169257341, ""recall"": 0.9460500963391136, ""f1-score"": 0.8943533697632058, ""support"": 519.0}, ""Security"": {""precision"": 0.9297820823244553, ""recall"": 0.8992974238875878, ""f1-score"": 0.9142857142857143, ""support"": 427.0}, ""Unknown"": {""precision"": 0.0, ""recall"": 0.0, ""f1-score"": 0.0, ""support"": 46.0}, ""accuracy"": 0.8820564516129032, ""macro avg"": {""precision"": 0.5925986330833964, ""recall"": 0.6151158400755672, ""f1-score"": 0.6028796946829734, ""support"": 992.0}, ""weighted avg"": {""precision"": 0.8438872178800387, ""recall"": 0.8820564516129032, ""f1-score"": 0.8614610876079675, ""support"": 992.0}}",1.2212,812.348,25.386,2.0,286,186,23
