fraction_raw,fraction_label,subset_size,model_raw,model_label,eval_loss,eval_hamming_loss,eval_subset_accuracy,eval_armed_assault_precision,eval_armed_assault_recall,eval_armed_assault_f1-score,eval_armed_assault_support,eval_arrest_precision,eval_arrest_recall,eval_arrest_f1-score,eval_arrest_support,eval_bombing_precision,eval_bombing_recall,eval_bombing_f1-score,eval_bombing_support,eval_infrastructure_precision,eval_infrastructure_recall,eval_infrastructure_f1-score,eval_infrastructure_support,eval_surrender_precision,eval_surrender_recall,eval_surrender_f1-score,eval_surrender_support,eval_seizure_precision,eval_seizure_recall,eval_seizure_f1-score,eval_seizure_support,eval_abduction_precision,eval_abduction_recall,eval_abduction_f1-score,eval_abduction_support,eval_micro avg_precision,eval_micro avg_recall,eval_micro avg_f1-score,eval_micro avg_support,eval_macro avg_precision,eval_macro avg_recall,eval_macro avg_f1-score,eval_macro avg_support,eval_weighted avg_precision,eval_weighted avg_recall,eval_weighted avg_f1-score,eval_weighted avg_support,eval_samples avg_precision,eval_samples avg_recall,eval_samples avg_f1-score,eval_samples avg_support,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0.03125,3%,310,bert-base-cased,BERT,0.590094268321991,0.17857142857142858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0589,67.874,16.968,2.0
0.03125,3%,310,snowood1/ConfliBERT-scr-cased,ConfliBERT,0.5217003226280212,0.17857142857142858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0606,66.059,16.515,2.0
0.03125,3%,310,FacebookAI/roberta-base,RoBERTa,0.5244604349136353,0.17857142857142858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0608,65.83,16.457,2.0
0.03125,3%,310,distilbert-base-cased,DistilBERT,0.5673987865447998,0.17857142857142858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0423,94.504,23.626,2.0
0.03125,3%,310,xlnet-base-cased,XLNet,0.5016559958457947,0.17857142857142858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0902,44.341,11.085,2.0
0.03125,3%,310,google/electra-base-discriminator,ELECTRA,0.5785014033317566,0.17857142857142858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0674,59.319,14.83,2.0
0.0625,6%,620,bert-base-cased,BERT,0.43484264612197876,0.1836734693877551,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0885,79.081,11.297,2.0
0.0625,6%,620,snowood1/ConfliBERT-scr-cased,ConfliBERT,0.37140825390815735,0.16326530612244897,0.2857142857142857,0.6666666666666666,1.0,0.8,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0,0.09523809523809523,0.14285714285714285,0.1142857142857143,9.0,0.14814814814814814,0.2222222222222222,0.17777777777777778,9.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,9.0,0.0881,79.491,11.356,2.0
0.0625,6%,620,FacebookAI/roberta-base,RoBERTa,0.40719059109687805,0.1836734693877551,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0833,84.075,12.011,2.0
0.0625,6%,620,distilbert-base-cased,DistilBERT,0.4546937644481659,0.1836734693877551,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0493,142.053,20.293,2.0
