Model,Bin,mae,rmse,exact_match,within_1,within_2,n
nt5-small,0,0.13479623824451412,0.9418849905499065,0.9623824451410659,0.9780564263322884,0.987460815047022,319
nt5-small,1,0.055384615384615386,0.3038218101251,0.9569230769230769,0.9938461538461538,0.9938461538461538,325
nt5-small,2,0.0784313725490196,0.3429971702850177,0.9411764705882353,0.9803921568627451,1.0,102
nt5-small,3-5,0.30666666666666664,0.8406346808612327,0.8,0.9466666666666667,0.9733333333333334,75
nt5-small,6+,4.2105263157894735,14.431325576492856,0.6842105263157895,0.7894736842105263,0.8421052631578947,38
indicbart,0,0.18181818181818182,1.4918797971531101,0.9498432601880877,0.9843260188087775,0.987460815047022,319
indicbart,1,0.055384615384615386,0.3038218101251,0.9569230769230769,0.9938461538461538,0.9938461538461538,325
indicbart,2,0.23529411764705882,0.8043996665398437,0.8823529411764706,0.9313725490196079,0.9803921568627451,102
indicbart,3-5,0.5066666666666667,1.1195237082497778,0.6933333333333334,0.9066666666666666,0.9466666666666667,75
indicbart,6+,3.9210526315789473,6.647120468768096,0.2631578947368421,0.39473684210526316,0.5263157894736842,38
conflibert-poisson,0,0.05329153605015674,0.4372900302235524,0.9780564263322884,0.987460815047022,0.9937304075235109,319
conflibert-poisson,1,0.033846153846153845,0.2,0.9692307692307692,0.9969230769230769,1.0,325
conflibert-poisson,2,0.08823529411764706,0.3570027736477083,0.9313725490196079,0.9803921568627451,1.0,102
conflibert-poisson,3-5,1.1733333333333333,1.39522996909709,0.10666666666666667,0.7866666666666666,0.96,75
conflibert-poisson,6+,5.078947368421052,10.194167579139503,0.2894736842105263,0.39473684210526316,0.5263157894736842,38
mt5-base,0,0.23510971786833856,1.5586747847577116,0.9247648902821317,0.9717868338557993,0.9843260188087775,319
mt5-base,1,0.033846153846153845,0.2660248687044705,0.9784615384615385,0.9938461538461538,0.9938461538461538,325
mt5-base,2,0.1568627450980392,0.44280744277004763,0.8627450980392157,0.9803921568627451,1.0,102
mt5-base,3-5,0.4266666666666667,1.0327955589886444,0.76,0.8933333333333333,0.96,75
mt5-base,6+,2.6842105263157894,5.94270893395295,0.6052631578947368,0.7105263157894737,0.7368421052631579,38
flan-t5-base,0,0.07523510971786834,0.6383756816889149,0.9717868338557993,0.987460815047022,0.9937304075235109,319
flan-t5-base,1,0.036923076923076927,0.23533936216582085,0.9692307692307692,0.9969230769230769,0.9969230769230769,325
flan-t5-base,2,0.058823529411764705,0.3131121455425747,0.9607843137254902,0.9803921568627451,1.0,102
flan-t5-base,3-5,0.29333333333333333,0.8326663997864531,0.8133333333333334,0.9466666666666667,0.9733333333333334,75
flan-t5-base,6+,4.473684210526316,15.066519173319364,0.7368421052631579,0.7631578947368421,0.8157894736842105,38
flan-t5-large,0,0.06583072100313479,0.6309668154959128,0.9811912225705329,0.987460815047022,0.9937304075235109,319
flan-t5-large,1,0.04,0.24178820993079556,0.9661538461538461,0.9969230769230769,0.9969230769230769,325
flan-t5-large,2,0.06862745098039216,0.32839478871459266,0.9509803921568627,0.9803921568627451,1.0,102
flan-t5-large,3-5,0.24,0.8,0.8666666666666667,0.9466666666666667,0.9733333333333334,75
flan-t5-large,6+,1.9736842105263157,5.0809240767486585,0.7105263157894737,0.7894736842105263,0.8421052631578947,38
flan-t5-xl-lora,0,0.06269592476489028,0.6529412595335463,0.9843260188087775,0.9905956112852664,0.9937304075235109,319
flan-t5-xl-lora,1,0.06153846153846154,0.3922322702763681,0.963076923076923,0.9876923076923076,0.9938461538461538,325
flan-t5-xl-lora,2,0.058823529411764705,0.28005601680560194,0.9509803921568627,0.9901960784313726,1.0,102
flan-t5-xl-lora,3-5,0.18666666666666668,0.7483314773547883,0.9066666666666666,0.96,0.9733333333333334,75
flan-t5-xl-lora,6+,1.0526315789473684,3.153944898227081,0.8421052631578947,0.868421052631579,0.868421052631579,38
