incident_number,incident_summary,true_location,llama3_8b_pred,mistral_7b_pred,mixtral_8x7b_pred,flan_t5_xl_pred,gpt4o_mini_pred,gemini_flash_pred
310271403,"Disillusioned with the Maoist ideology and treatment met out to them by Andhra Pradesh Maoist leaders, Sukhdas (40) and Keshu (40) laid down their arms in Narayanpur District of Chhattisgarh. The duos were carrying a reward of INR 10,000 each on their head. Both the outlaws had joined the Naxal movement in 2008 and used to work for their area commanders. Later in 2010, Sukhdas was promoted as the head of Sonpur Dandakaranya Kisan Mazdoor Sangathan while Keshu was made the Sonpur ‘militia commander’.","state: Chhattisgarh, district: Narayanpur","village: None, other_locations: None. Explanation: The incident mentions Narayanpur District of Chhattisgarh","state: Chhattisgarh, district: Narayanpur, village: Not mentioned, other_locations: Not mentioned.","state: Chhattisgarh, district: Narayanpur","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Narayanpur, other_locations: Sonpur Dandakaranya Kisan Mazdoor Sangathan",
110271401,"A CPI-Maoist 'militia' member, carrying a reward of INR 100,000 on his head, was arrested from Visakhapatnam District of Andhra Pradesh. ""Keesava Rao alias Balabadrudu was arrested by G.K. Veedi Police,"" said Vishal Gunni, OSD, Narsipatnam.","state: Andhra Pradesh, district: Visakhapatnam",other_locations: G.K. Veedi Police,"state: Andhra Pradesh, district: Visakhapatnam, village: Not mentioned, other_locations: Narsipatnam.","state: Andhra Pradesh, district: Visakhapatnam, village: <not mentioned>, other_locations: <not mentioned>","state: name>, district: name>, village: name>, other_locations: name>","state: Andhra Pradesh, district: Visakhapatnam, other_locations: Narsipatnam",
1410281401,"Nachika Linga, the leader of the CMAS of Narayanpatna block, a CPI-Maoist front organization, who was in the most-wanted list of both Odisha and Andhra Pradesh Police, surrendered at Bhaliaput village before a Police team led by the Inspector in Charge of Narayanpatna Police Station in Koraput District of Odisha, in the presence of some local elected panchayat representatives of Narayanpatna block. Nachika was arrested after his surrender. IG of south west range, Yashwant Jethwa said, ""He was arrested after his surrender."" Nachika has around 43 cases pending against him in Koraput District, including that of murder, murder attempt and instigation of violence. He had 33 non-bailable warrants against him. Apart from this, he also has cases pending against him in Police Stations of Parvatipuram area of Andhra Pradesh. According to Jethwa, Nachika would be sent to court on October 29.","state: Odisha, district: Koraput, village: Bhaliaput","state: Odisha, district: Koraput, village: Bhaliaput, other_locations: Narayanpatna block","state: Odisha, district: Koraput, village: Narayanpatna, other_locations: Parvatipuram (Andhra Pradesh)","state: Odisha, district: Koraput, village: Bhaliaput, other_locations: Narayanpatna block","state: name>, district: name>, village: name>, other_locations: name>","state: Odisha, district: Koraput, village: Bhaliaput, other_locations: Narayanpatna",
210281401,"The Tirhut 'sub-zonal commander' of the CPI-Maoist, Ganesh Paswan alias Ganseh Bharti alias Mantriji alias Gautam, operating mainly in Muzaffarpur and Vaishali Districts for the last 12 years, was arrested along with three other Maoists, identified as Deep Lal Sahni, Shashi Ranjan and Krishna Nandan Das, from Meenapur Police Station area in Muzaffarpur District of Bihar. A 12 bore desi rifle, some ammunitions and levy collection receipts were recovered from his possession and, on his disclosure, the police subsequently raided different locations of the District on the same day, and seized 15 detonators, one desi pistol and a large quantity of Maoists' leaflets. Some of the explosives were recovered from the houses of two women and the Police are verifying their connection with the Maoists, if any. SSP Ranjit Kumar Mishra informed that the Maoist leader was mainly engaged in ""levy"" collection and it was on his direction that the Maoists used to attack those who failed to pay ""levy"" to the extremists.","state: Bihar, district: Muzaffarpur, other_locations: Meenapur area","district: Muzaffarpur, village: Meenapur, other_locations: Vaishali","state: Bihar, district: Muzaffarpur, village: (Not mentioned), other_locations: Vaishali District.","state: Bihar, district: Muzaffarpur, other_locations: Vaishali District","state: name>, district: name>, village: name>, other_locations: name>","state: Bihar, district: Muzaffarpur, village: Meenapur, other_locations: None",
310281401,"Two CPI-Maoist cadres, identified as Aaytu (30) and Singhrai (40), were arrested during a search operation carried out in the forests of Pittegudum under Badgaon Police Station limits in Kanker District of Chhattisgarh. The local court had issued arrest warrants against them for their involvement in criminal incidents.","state: Chhattisgarh, district: Kanker, other_locations: Badgaon - forests of Pittegudum under Badgaon",state: Chhattisgarh - District:,"state: Chhattisgarh, district: Kanker, village: Not mentioned, other_locations: Pittegudum","state: Chhattisgarh, district: Kanker, village: Pittegudum, other_locations: Badgaon Police Station limits.","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Kanker, village: Pittegudum, other_locations: Badgaon Police Station",
1810291401,"Following the exchange of fire, Venkatapuram circle Police in Khammam District of Telangana stepped up area domination operations in forest areas in Charla and Dummugudem mandal of Telangana, which share a long border with Chhattisgarh. Vigil has been intensified along the remote tribal pockets situated close to the inter-State border to check the movement of rebels.","state: Telangana, district: Khammam, other_locations: Charla and Dummugudem mandal, Venkatapuram circle","district: Khammam, village: Venkatapuram, other_locations: Charla","state: Telangana, district: Khammam, village: (not mentioned), other_locations: Charla","state: Telangana, district: Khammam, village: Venkatapuram circle, other_locations: Charla and Dummugudem mandal","state: name>, district: name>, village: name>, other_locations: name>","state: Telangana, district: Khammam, other_locations: Charla",
310291401,"There was a reported exchange of fire between SFs and the CPI-Maoist cadres, in the Pamedu forest area of Bijapur District of Chhattisgarh. However, no casualty was reported from either side.","state: Chhattisgarh, district: Bijapur, other_locations: Pamedu forest","district: Bijapur, village: Pamedu, other_locations: Pamedu forest area","state: Chhattisgarh, district: Bijapur, village: (not mentioned), other_locations: Pamedu forest area.","state: Chhattisgarh, district: Bijapur, village: Pamedu","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Bijapur, other_locations: Pamedu forest area",
310291402,"Five cadres of the CPI-Maoist, identified as Sopsingh Mangau (35), Raturam Chamara (30) and Sanau Ayaturam (30) from the Kiskodo LGS, Mahari Bajju Ram (25) and Dulari Gajju (27), Maoist ‘jan militia’ members from the Bayanar area, surrendered before the Police in Kondagaon District of Chhattisgarh. While, Mangau, Chamara and Ayaturam surrendered before SP Abhishek Meena, Mahari and Dulari, surrendered before Bayanar Police Station in-charge Sharad Dubey.","state: Chhattisgarh, district: Kondagaon","district: Kondagaon, village: Kiskodo, other_locations: Bayanar","state: Chhattisgarh, district: Kondagaon, village: (Not mentioned), other_locations: Kiskodo LGS","state: Chhattisgarh, district: Kondagaon, village: Bayanar, other_locations: Kiskodo LGS","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Kondagaon, other_locations: Bayanar",
310301401,"Three Police personnel were injured during an encounter with CPI-Maoist cadres in Sukma District of Chhattisgarh. A joint squad of CRPF and District Police was carrying out an anti-Naxal operation in forests under Chintagufa Police Station limits, when a group of armed Maoists opened indiscriminate fire on the Police party while they were cordoning off Ramaram forests leaving three of them injured, IG of Police Bastar Range, SRP Kalluri said. Later, the Maoists escaped into the deep forests after finding that SFs were surrounding them in a retaliatory attack, Kalluri added.","state: Chhattisgarh, district: Sukma, other_locations: Chintagufa ; Ramaram forests","district: Sukma, village: Chintagufa, other_locations: Ramaram forests","state: Chhattisgarh, district: Sukma, village: (not mentioned), other_locations: Ramaram forests","state: Chhattisgarh, district: Sukma, village: Ramaram, other_locations: Chintagufa Police Station limits.","state: name>, district: name>, village: name>, other_locations: name>","state: Chhattisgarh, district: Sukma, other_locations: Ramaram forests",
1410301401,"The CPI-Maoist cadres killed a tribal youth in Malkangiri District of Odisha, suspecting him to be a 'Police informer'. According to reports, a group of 10 to 15 Maoists reached Panimetala village in the night of October 29 and abducted Bhima Madhi (27), whose bullet-ridden body was found lying on the main road near MPV-31 village by the villagers. The villagers also found two Maoists posters near the body. While one poster said that Bhima was killed for being a 'Police informer', the other poster was on the call for a Malkangiri Bandh on October 30, to protest the killing of three Maoists by tribals at Biravaram village on the Odisha-Andhra Pradesh Border on October 19.","state: Odisha, district: Malkangiri, village: Panimetala, other_locations: MPV-31","village: Panimetala, other_locations: MPV-31","state: Odisha, district: Malkangiri, village: Panimetala, other_locations: MPV-31","state: Odisha, district: Malkangiri, village: Panimetala, other_locations: MPV-31","state: name>, district: name>, village: name>, other_locations: name>","state: Odisha, district: Malkangiri, village: Panimetala, other_locations: MPV-31",
